OTU	L.CC14.1	L.CC14.2	L.CC14.3	L.CC15.1	L.CC15.2	L.CC15.3	L.CC11.1	L.CC11.2	L.CC11.3	L.CC18.1	L.CC18.2	L.CC18.3	L.CC7.1	L.CC7.2	L.CC7.3	L.CC13.1	L.CC13.2	L.CC13.3	L.CC6.1	L.CC6.2	L.CC6.3	L.CC16.1	L.CC16.2	L.CC16.3	L.CC5.1	L.CC5.2	L.CC5.3	L.CC9.1	L.CC9.2	L.CC9.3	L.CC8.1	L.CC8.2	L.CC8.3	L.CC17.1	L.CC17.2	L.CC17.3	L.CC19.1	L.CC19.2	L.CC19.3	L.CC3.1	L.CC3.2	L.CC3.3	L.CC10.1	L.CC10.2	L.CC10.3
Zotu3033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	112	148	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3034	0	0	0	0	134	0	0	0	0	0	53	0	54	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	22	0	0	103	0	0	0	0
Zotu3035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	32	168	0	0	0	87	49	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3036	177	112	97	0	0	8	16	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	13	28	0	0	0	0	0	0	21	4	4	0	0	0
Zotu3037	29	0	7	0	0	79	43	0	0	14	0	0	29	18	0	19	0	0	0	0	0	38	0	0	0	0	7	0	0	0	0	41	0	0	0	0	41	0	0	0	6	0	0	70	0
Zotu3038	21	32	21	9	0	0	8	0	0	0	0	33	23	4	0	11	3	11	0	0	0	0	9	0	7	15	65	0	0	0	0	16	14	0	0	0	16	0	0	0	7	40	0	0	0
Zotu3039	19	4	0	5	0	12	0	0	0	84	49	0	0	0	23	0	37	0	45	3	0	0	0	0	0	75	8	0	0	0	0	19	5	0	0	0	49	0	0	0	7	28	0	0	0
Zotu304	105	46	50	0	0	75	0	0	44	176	22	42	8	0	0	0	0	0	0	0	9	192	0	136	223	155	292	0	0	0	130	126	178	0	315	133	15	0	9	287	144	62	0	108	0
Zotu3040	0	0	0	0	0	5	0	0	0	142	158	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3041	0	0	0	0	0	0	0	0	0	0	0	0	63	15	19	0	0	0	0	0	10	34	0	13	0	10	5	0	0	0	34	102	82	3	0	0	8	0	0	9	0	0	0	0	0
Zotu3042	0	10	24	6	0	0	21	4	22	33	13	12	0	0	39	55	4	59	0	0	0	0	0	0	0	26	13	0	0	0	18	0	0	0	0	0	37	0	0	0	8	0	0	0	0
Zotu3044	37	10	10	0	7	0	6	17	53	9	0	15	20	6	3	0	4	25	18	0	0	20	19	0	23	0	43	0	0	0	41	6	11	0	0	0	0	0	5	37	0	4	0	0	0
Zotu3046	90	27	0	0	0	0	31	0	0	0	0	0	21	0	0	0	0	9	0	0	8	21	0	47	58	15	0	0	0	0	48	5	0	0	0	0	29	0	86	6	0	27	0	0	0
Zotu3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	128	176	0	0	0	0	0	0
Zotu3048	0	19	39	4	0	26	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	0	22	31	102	0	0	0	4	57	0	0	0	0	0	28	0	0	0	43	0	0	0
Zotu3049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	50	0	17	0	28	36	0	0	0	4	10	9	43	0	0	8	3	34	0	22	0	0	0	0
Zotu305	96	98	78	306	190	128	186	75	87	316	149	249	10	17	11	143	177	128	60	17	0	140	119	152	65	113	193	0	0	0	148	38	36	0	24	89	62	8	29	151	71	46	0	0	25
Zotu3050	8	33	10	0	8	17	0	0	0	8	0	0	0	0	0	0	0	0	0	43	16	87	0	0	19	11	30	0	0	0	0	0	17	0	68	0	0	7	22	0	0	0	0	0	0
Zotu3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	48	16	0	0	178	21	154	0	0	0
Zotu3053	0	0	0	5	29	4	0	0	0	0	0	54	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	4	36	26	42	7	0	64	36	0	0	3	4	53	0	0	0
Zotu3054	0	31	0	0	39	20	0	0	0	22	0	0	0	0	0	113	0	0	7	0	0	0	0	0	3	0	28	0	0	0	42	45	54	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3056	43	159	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	28	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	71	0	76	0	0	0	0	0	0
Zotu3058	43	14	3	0	7	0	7	0	6	0	7	15	11	11	35	20	39	30	16	0	0	0	0	0	7	3	14	0	0	0	0	0	25	0	0	41	9	0	28	0	17	7	0	0	0
Zotu3059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	9	79	0	0	0	0	0	0	0	0	78	0	0	0	8	48	15	0	0	0	0	0	0	0	30	4
Zotu306	150	95	340	12	0	0	328	202	327	27	0	0	188	122	181	0	0	0	0	143	35	7	7	8	121	244	463	0	0	0	250	53	277	0	8	73	45	52	68	119	118	95	0	0	0
