OTU	Z.CC14.1	Z.CC14.2	Z.CC14.3	Z.CC15.1	Z.CC15.2	Z.CC15.3	Z.CC11.1	Z.CC11.2	Z.CC11.3	Z.CC18.1	Z.CC18.2	Z.CC18.3	Z.CC7.1	Z.CC7.2	Z.CC7.3	Z.CC13.1	Z.CC13.2	Z.CC13.3	Z.CC6.1	Z.CC6.2	Z.CC6.3	Z.CC16.1	Z.CC16.2	Z.CC16.3	Z.CC5.1	Z.CC5.2	Z.CC5.3	Z.CC9.1	Z.CC9.2	Z.CC9.3	Z.CC8.1	Z.CC8.2	Z.CC8.3	Z.CC17.1	Z.CC17.2	Z.CC17.3	Z.CC19.1	Z.CC19.2	Z.CC19.3	Z.CC3.1	Z.CC3.2	Z.CC3.3	Z.CC10.1	Z.CC10.2	Z.CC10.3
Zotu1763	0	0	0	14	15	0	0	0	0	24	31	141	0	0	0	48	46	42	0	0	0	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1764	0	0	0	19	25	0	0	0	0	72	57	120	0	0	0	50	39	76	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1765	0	0	0	0	0	0	0	0	0	0	0	0	45	59	21	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	30	31	10	0	0	0	44	25	0	29	52	14	0	18	6
Zotu1766	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	150	179	0	0	0	17	14	4	0	14	0	0	0	0	3	35	92	0	0	0
Zotu1767	28	0	0	7	12	19	15	15	36	30	43	55	0	0	0	0	0	5	0	0	0	0	17	18	0	14	0	0	0	0	0	0	0	25	3	18	0	0	0	0	0	0	6	13	0
Zotu1768	0	0	0	18	0	5	0	0	0	0	28	35	0	0	0	0	0	6	32	52	33	0	0	0	7	0	0	0	0	0	9	0	0	7	0	0	0	0	0	49	14	67	17	0	0
Zotu1769	12	30	0	0	0	0	0	0	0	78	65	170	3	5	0	28	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0
Zotu177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2902	2380	2664
Zotu1770	21	0	5	0	13	25	25	0	0	0	23	0	11	0	0	0	0	0	0	32	12	65	33	0	8	0	4	0	0	0	0	0	0	0	0	0	18	5	10	3	24	29	0	0	10
Zotu1771	3	0	0	38	0	0	0	10	0	4	10	84	5	26	0	0	13	3	0	0	0	32	12	0	0	12	0	0	0	0	0	21	5	25	0	0	29	0	14	15	18	50	9	19	16
Zotu1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	126	184	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1773	0	16	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	67	106	65	0	0	0	13	0	27	27	9	0	0	0	0
Zotu1774	0	0	0	0	0	0	0	0	0	136	109	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	573	741	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	180	201	380	0	0	0
Zotu1778	21	0	0	13	0	0	0	0	0	22	16	7	0	0	0	34	46	0	52	57	21	0	20	10	14	0	6	0	0	0	32	23	15	0	18	0	17	3	4	0	0	0	0	0	0
Zotu178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	3300	3505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	88	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	3
Zotu1782	24	80	0	0	11	3	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	6	18	0	4	18	25	0	0	0	25	11	10	18	7	0	4	14	9	25	45	35	0	0	0
Zotu1783	114	7	5	7	0	16	22	16	4	0	0	9	13	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	16	40	12	0	0	0	0	18	0	0	0	0	0	16	0
Zotu1784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	100	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	39	0	0	0	61	81	122	0	0	0	0	27	20	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1786	0	0	0	0	0	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	138	55	102	0	0	24	0	45	0
Zotu1788	25	25	9	14	0	7	55	0	28	0	0	0	9	4	10	0	0	0	11	40	21	21	10	33	0	4	0	0	0	0	0	0	0	0	0	0	0	10	3	13	4	6	29	26	34
Zotu1789	0	0	0	84	39	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	68	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	8	42	0	0	0
Zotu1790	0	0	0	0	0	0	0	0	0	27	15	28	0	0	0	0	0	36	0	76	165	6	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	0	0	0	0
Zotu1791	0	0	0	0	0	0	0	0	0	17	15	46	0	0	0	0	0	0	54	64	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	60	6	5	0
Zotu1792	0	0	0	72	44	50	0	0	0	0	0	0	18	25	42	0	0	0	0	0	0	0	0	0	0	23	35	0	0	0	54	72	17	0	7	19	0	0	0	0	0	0	0	0	0
Zotu1795	72	0	0	9	11	14	0	0	0	16	62	130	0	0	0	23	14	4	28	0	0	0	0	0	0	3	15	0	0	0	0	7	6	0	0	27	0	0	9	5	0	0	0	0	0
Zotu1796	26	0	0	0	22	6	55	0	0	39	32	44	11	0	0	7	13	4	0	0	0	16	32	31	12	0	0	0	0	0	17	5	0	0	4	0	0	0	0	0	5	9	0	0	21
Zotu1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	172	49	81	0	0	0	0	0	0	9	14	42	0	0	0
Zotu1799	5	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	47	0	0	0	5	11	236	0	0	32	0	0	0	0	0	0	11	0	10	0	0	0	0	0
Zotu18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8820	15533	16770	2059	2750	4585	6579	6895	5784	0	0	0	0	0	0	0	0	0	0	0	0
Zotu180	4	0	0	16	21	21	101	70	74	0	0	0	0	0	0	0	4	0	165	102	54	0	0	0	1613	2736	3116	0	0	0	101	55	49	0	0	0	35	66	44	4	5	7	150	28	58
Zotu1801	0	0	0	25	6	8	0	30	12	61	17	36	0	0	0	52	69	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Zotu1802	161	35	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	59	30
Zotu1804	0	0	0	9	0	34	0	0	0	133	59	122	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	35	0	4	0	0	0	0	0	0
Zotu1805	17	5	0	0	0	0	0	10	24	39	35	17	6	0	24	27	23	15	11	0	19	10	33	17	0	11	25	0	0	0	0	4	7	0	19	0	0	3	0	15	15	7	0	6	0
Zotu1807	0	0	0	0	3	0	7	11	0	0	25	0	0	12	3	26	0	5	0	0	0	6	95	11	19	6	28	0	0	0	4	0	6	0	3	0	0	30	7	46	24	8	45	41	4
Zotu181	276	269	24	113	102	149	83	64	221	84	82	46	436	472	406	4	0	14	249	799	454	50	37	184	83	156	98	0	0	770	153	154	121	54	64	113	132	104	98	246	277	389	554	477	579
Zotu1811	0	0	0	0	0	0	0	0	0	0	0	0	117	158	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Zotu1812	0	0	0	58	53	11	0	0	0	66	41	107	0	0	0	54	49	47	16	0	0	14	0	0	0	0	0	0	0	0	0	35	9	5	4	3	0	6	8	0	0	0	0	0	0
Zotu1813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	160	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	216	208	0	0	0	0	0	0	0	0	0
Zotu1815	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	107	83	49	0	0	0	0	0	0	44	88	104	0	0	0	0	0	0	0	0	0	32	34	38	0	0	0	0	0	0
Zotu1816	62	0	3	30	12	15	17	39	0	0	0	0	8	0	0	0	0	0	33	0	0	0	29	48	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
Zotu1817	79	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	27	18	0	0	0	0	0	0	0	0	0	0	0	0	18	101	65	0	0	0
Zotu1818	0	12	0	0	12	11	5	0	0	28	15	59	8	0	3	53	10	28	0	0	0	7	37	0	0	0	0	0	0	0	16	15	0	0	9	0	13	0	0	12	29	22	0	0	0
Zotu1819	5	0	5	70	29	50	0	0	0	27	10	0	0	3	0	6	57	101	18	0	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	8	4	10	19	22	0	0	0
Zotu182	0	0	0	5	0	3	0	0	0	10	7	0	3	0	0	17	23	10	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Zotu1821	0	0	0	0	0	0	49	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5	0	0	0	0	0	78	93	95	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	178	408	0	0	0	0	0	0	0	0	0
Zotu1826	6	30	4	0	0	0	0	175	37	0	13	29	0	30	8	0	0	0	0	0	0	0	0	0	12	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1827	32	37	4	0	9	0	25	0	0	4	20	45	8	31	22	0	15	0	0	4	0	0	31	17	0	0	0	0	0	0	0	10	0	12	9	0	0	4	12	6	11	6	0	7	32
Zotu1828	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	40	181	184	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1829	0	0	0	182	83	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu183	139	124	19	18	24	52	122	116	126	100	128	270	425	327	247	99	55	67	443	532	307	1010	774	1122	23	59	31	241	1131	550	111	90	73	112	84	132	58	101	55	134	265	224	241	158	103
Zotu1830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	107	71	0	0	0
Zotu1831	0	0	0	18	4	7	0	0	0	0	0	53	0	5	0	0	0	0	55	35	31	0	12	10	4	7	4	0	0	0	10	6	3	4	0	4	17	8	17	54	20	15	0	3	0
Zotu1832	0	0	0	3	3	0	0	0	0	4	38	19	0	8	0	6	11	4	0	0	0	39	0	34	4	6	13	0	0	0	4	12	10	0	0	4	6	22	26	37	40	11	0	0	14
Zotu1833	5	0	3	10	0	3	11	0	0	34	25	39	13	0	7	102	8	48	0	0	0	0	4	0	12	8	12	0	0	0	28	7	16	3	0	0	4	0	11	8	0	0	0	0	0
Zotu1835	0	0	0	100	89	106	0	0	0	0	23	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Zotu1836	37	14	3	0	0	0	66	105	92	0	0	0	27	39	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0
Zotu1837	19	20	0	12	7	0	5	3	46	0	0	0	0	0	0	40	0	11	18	0	0	39	0	21	6	29	0	0	0	0	0	36	9	6	0	0	7	21	0	6	17	0	0	0	0
Zotu1838	0	0	0	0	0	0	0	0	0	0	0	0	69	128	33	15	6	0	0	0	0	38	24	0	0	0	0	0	0	0	10	21	0	19	4	0	0	0	0	16	0	0	0	0	0
Zotu1839	20	0	0	0	0	0	0	0	0	0	0	0	4	12	11	0	0	0	160	42	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
Zotu184	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3113	5133	5311	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1840	0	0	0	0	4	0	0	0	0	0	0	0	14	10	5	0	0	0	22	14	0	19	7	47	8	4	0	0	0	0	8	8	0	6	0	0	18	0	0	37	129	70	0	0	0
Zotu1842	0	0	0	0	0	0	0	0	0	0	0	0	42	35	63	0	0	0	4	280	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1843	0	0	0	6	0	12	30	16	17	0	0	21	5	0	3	46	0	4	0	38	12	0	0	29	0	19	0	0	0	0	0	9	0	5	0	0	21	3	11	0	11	39	35	14	0
Zotu1844	0	0	0	72	18	18	0	0	0	3	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	91	137	0	0	0
Zotu1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	47	50	0	0	0	0	0	0	45	77	114	0	0	0
Zotu1846	12	13	0	28	0	11	30	32	7	84	0	5	18	26	18	0	0	0	0	0	0	3	0	14	0	9	0	0	0	0	6	36	25	7	0	10	3	30	0	0	4	9	0	0	0
Zotu1847	0	0	0	14	7	13	0	0	0	14	80	14	20	3	18	0	0	0	0	0	0	17	18	28	0	3	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	25	0	45
Zotu1848	38	0	8	0	0	0	0	11	4	0	0	0	23	0	0	0	0	0	6	30	6	0	0	0	0	7	7	0	0	0	10	0	8	0	0	0	29	0	9	0	0	0	92	42	14
Zotu1849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	106	211	0	0	0
Zotu185	450	477	58	0	0	0	0	0	0	0	0	0	282	224	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1496	2487	2906	0	0	0
Zotu1850	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	27	21	0	35	50	0	76	21	87
Zotu1851	16	6	3	0	3	9	38	11	12	9	7	5	12	7	15	12	8	10	9	0	8	21	6	6	3	6	4	0	0	7	0	0	3	0	0	0	6	6	7	9	4	5	10	0	0
Zotu1852	26	40	0	9	26	21	17	24	0	10	17	0	0	3	0	0	0	12	0	0	0	7	0	60	4	0	0	0	0	0	0	12	5	4	5	41	0	36	3	0	9	6	0	6	0
Zotu1853	0	0	0	6	0	0	0	0	0	8	54	16	0	0	0	0	83	20	0	0	0	67	46	37	10	18	22	0	0	0	13	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	70	0	0	0	3	0	0	0	0	0	0	0	0	0	0	56	47	0	0	0	24	0	0	0	88
Zotu1855	0	0	0	0	0	0	98	136	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1856	0	0	0	0	0	0	16	0	139	48	67	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1857	0	38	3	16	12	14	0	14	0	0	0	71	0	0	0	53	7	66	0	0	0	28	35	0	0	3	3	0	0	0	0	0	0	0	12	0	0	0	9	0	0	0	0	0	0
Zotu1858	57	11	0	0	0	0	0	0	0	0	7	0	65	6	13	0	0	0	33	48	60	33	5	9	0	0	0	0	0	0	9	19	13	0	0	0	0	0	4	0	0	8	0	55	0
Zotu1859	34	21	0	0	0	15	21	0	5	0	0	0	16	0	18	0	0	18	23	27	0	27	12	0	0	0	7	0	0	0	0	16	8	4	30	0	0	6	8	0	0	35	0	21	0
Zotu186	526	422	43	103	55	68	184	203	327	249	297	250	54	36	94	348	299	335	0	0	0	2003	1420	1731	116	150	206	605	738	0	617	658	752	0	5	0	74	54	60	67	204	148	0	0	0
Zotu1861	8	0	0	0	0	0	32	63	47	0	0	0	0	0	0	0	0	0	20	0	0	10	43	0	16	31	28	59	0	0	0	0	0	0	0	0	27	0	3	0	17	0	0	0	52
Zotu1862	0	0	0	0	0	0	33	34	11	0	0	0	4	0	9	0	0	0	0	0	0	0	47	30	10	0	20	0	0	0	39	7	20	0	0	0	13	35	10	18	0	0	0	0	0
Zotu1865	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	61	103	123	0	0	7	0	0	0	0	0	0	39	28	26	0	0	0	0	0	0	0	0	0
Zotu1867	4	9	0	9	6	0	11	0	10	12	17	13	23	14	9	9	9	16	16	69	22	23	23	38	0	0	3	89	17	0	0	9	6	0	6	13	14	0	4	16	17	5	32	17	33
Zotu1868	14	23	0	4	0	5	15	0	21	13	9	7	0	11	22	16	53	73	0	5	9	0	5	15	0	0	6	0	0	0	40	0	20	18	0	0	0	0	0	4	8	0	0	0	0
Zotu1869	3	17	0	0	0	0	16	15	23	12	0	15	41	70	0	0	0	7	0	9	21	38	4	36	3	12	6	0	0	0	10	23	8	0	0	0	14	39	0	21	0	0	9	0	0
Zotu187	868	851	103	0	0	0	0	0	3	0	0	0	301	380	238	0	0	0	0	0	0	6	3	3	344	692	716	0	0	0	490	697	488	597	634	580	0	4	4	0	0	0	0	0	0
Zotu1871	0	0	0	0	0	0	0	0	0	0	0	0	117	60	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	65	113
Zotu1872	17	30	4	0	0	0	38	8	39	0	0	0	8	0	5	0	0	0	29	0	21	0	0	0	0	0	0	0	0	0	14	13	12	0	0	0	0	0	0	25	28	19	0	0	0
Zotu1873	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	5	0	0	0	0	0	0	0	0	0	0	16	0	0	0	9	0	19	40	25	23	90	79
Zotu1874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	47	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1875	45	0	4	0	0	0	0	0	0	0	0	12	52	28	17	0	0	0	5	28	16	10	0	0	0	0	0	0	0	0	0	0	3	0	0	16	29	11	12	22	0	9	15	23	6
Zotu1876	62	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	188	110
Zotu1877	27	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	38	0	13	5	0	0	163	0	0	0	8	0	15	0	0	0	3	0	27	16	55	0	0	0
Zotu1879	0	0	0	0	0	0	0	0	0	182	73	187	0	0	0	40	17	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu188	0	0	0	166	136	137	146	505	224	61	38	44	138	99	89	0	0	0	864	682	301	0	17	9	0	3	0	0	0	0	53	131	111	20	55	68	498	587	557	544	811	956	0	0	0
Zotu1882	212	145	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	165	108	42	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Zotu1885	0	0	0	15	0	0	0	0	0	0	4	77	10	0	10	41	0	0	0	14	0	0	10	0	11	9	0	0	0	0	49	0	24	0	9	0	0	0	5	36	0	6	0	0	0
Zotu1886	6	10	0	0	0	7	49	124	21	0	0	21	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	23	63	13	30
Zotu1887	0	0	0	0	0	11	0	0	0	17	51	44	8	20	0	69	12	6	0	14	0	0	7	15	3	0	6	0	0	0	22	0	10	5	0	0	0	15	11	0	0	0	0	0	0
Zotu1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	200	103	0	0	0	0	0	0
Zotu1889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	32	80	3	0	6	0	0	0	0	0	12	0	0	3	36	57	23	30	40	52	78	68	27
Zotu1890	18	0	10	43	10	8	0	0	0	45	86	76	0	0	0	3	0	16	0	0	0	0	20	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	25	0	0	3	0	0
Zotu1891	0	0	0	0	34	34	0	0	0	38	70	101	0	0	0	27	19	0	0	0	0	17	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Zotu1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	368	218	0	0	0
Zotu1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	6	16	0	6	0	0	0	0	0	0	0	45	0	0	8	0	11	9	0	39	0	6	13
Zotu1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	161	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	77	158	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1897	0	0	0	7	0	22	0	0	0	32	25	58	5	8	0	0	15	19	6	5	20	0	10	13	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	23	0	45	50	3	0
Zotu1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	67	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	10	30
Zotu19	0	0	0	0	0	0	13171	11775	14127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3523	3913	3018	189	224	387	0	0	0	772	1868	1668	0	0	0
Zotu190	120	34	8	431	274	353	0	68	60	246	150	291	137	114	125	100	55	60	562	517	205	292	63	180	22	30	34	0	0	0	85	103	69	54	27	73	177	148	107	251	481	641	1137	944	780
Zotu1900	0	0	0	33	26	24	0	0	0	0	0	0	51	25	45	0	0	0	0	60	0	0	0	45	8	29	31	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	80	98	0	0	0	0	0	0	0	0	0	18	7	52	0	12	10	0	4	10	0	0	0
Zotu1905	0	0	0	0	0	0	0	0	0	0	0	0	49	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	79	40
Zotu1906	0	0	0	0	0	11	9	0	0	0	10	63	14	0	0	60	12	49	0	0	0	0	0	8	0	4	0	0	0	0	18	3	8	7	3	5	11	0	7	21	15	63	0	0	0
Zotu1907	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	45	13	3	0	0	0	0	20	0	16	24	32	0	0	0	28	0	8	0	0	0	0	7	0	12	40	86	0	0	0
Zotu1908	136	63	15	0	0	0	0	0	0	0	0	0	88	112	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1909	82	29	10	0	0	0	0	35	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	98	22
Zotu191	0	0	0	4	4	19	0	0	0	68	58	18	0	0	0	0	0	0	1155	1434	1223	0	0	0	938	1948	2263	41	0	196	0	0	0	0	0	0	32	24	11	0	0	0	0	0	0
Zotu1910	46	43	0	0	0	0	0	0	0	27	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	109	71	0	0	0
Zotu1913	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1914	16	48	10	0	0	0	0	0	0	0	15	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	23	42	14	10	21	0	0	0
Zotu1916	44	16	4	0	11	3	0	12	0	21	9	20	0	0	0	38	10	0	0	0	0	44	10	13	0	0	9	0	0	0	10	15	44	0	4	0	6	9	0	0	14	23	0	0	0
Zotu1917	0	10	0	0	0	0	0	0	0	10	12	0	0	3	12	7	0	0	0	0	0	30	6	3	0	15	6	0	0	0	17	0	0	4	0	14	16	10	0	43	54	93	0	0	0
Zotu1918	80	27	4	10	0	10	0	0	0	0	0	24	0	0	0	45	9	12	0	6	21	0	13	0	0	11	23	0	0	0	7	5	23	0	0	17	0	6	0	0	0	0	0	0	0
Zotu192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2897	3225	2769
Zotu1922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	9	178	0	0	0
Zotu1923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	49	0	0	0	6	19	27	0	0	0	0	0	0	0	0	0	0	0	0	35	115	31	38	80	43
Zotu1924	0	0	0	20	11	11	0	0	0	0	5	0	0	0	10	16	7	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	4	0	0	5	6	0	0	0	0	0	0	25
Zotu1925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	6	12	0	0	0	5	34	5	0	0	0	0	0	0	0	0	0	52	40	26	38	102	69	62	56	20
