phylum	PUA	PUA	PUA	PUA	PUE	PUE	PUE	PUE	CT	CT	CT	CT	CU	CU	CU	CU	PT	PT	PT	PT
Arthropoda	0	9.666666667	0	9.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.666666667	2.666666667
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	3.666666667	0	3.666666667	0	0	6.333333333	6.333333333
Arthropoda	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	7.333333333	7.333333333	0	0	0	0	0	0	1	1
Arthropoda	0	0	0	0	0	0	0	0	0	4.333333333	0	4.333333333	0	0	0	0	0	4.333333333	0	4.333333333
Arthropoda	0	3.666666667	33.66666667	37.33333334	22.33333333	69.33333333	2.666666667	94.33333333	16.33333333	0	9	25.33333333	24.66666667	0	0	24.66666667	24	0	12	36
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9
Arthropoda	0	0	0	0	0	0	0	0	1.333333333	0	7.666666667	9	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	5.333333333	8	0	13.33333333	0	0	0	0	0	0	0	0
Arthropoda	6.666666667	10.33333333	31	48	5	7.666666667	6	18.66666667	1	0	0	1	32	0	0	32	45	35.66666667	26.33333333	107
Arthropoda	0	3.666666667	0	3.666666667	0	0	3.333333333	3.333333333	0	0	0	0	0	0	1	1	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.666666667	6.666666667	0	9.333333334
Arthropoda	0	4	1.333333333	5.333333333	0	0	0	0	0	0	0	0	5.333333333	0	0	5.333333333	0	0	0	0
Arthropoda	0	31.66666667	16	47.66666667	9	1.666666667	12.33333333	23	5.333333333	0	11.33333333	16.66666666	13.33333333	70.66666667	0	84	11.33333333	0	18	29.33333333
Arthropoda	0	0	0	0	0	0	0	0	0	4.333333333	1.333333333	5.666666666	0	3	0	3	0	0	0	0
Arthropoda	0	14.66666667	0	14.66666667	0	840.3333333	0	840.3333333	0	0	0	0	2.333333333	0	0	2.333333333	380.6666667	0	1.333333333	382
Arthropoda	0	0	0	0	0	5.333333333	0	5.333333333	0	2	0	2	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	4.333333333	4.333333333	8.666666666	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	8.666666667	0	8.666666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	2.333333333	0	2.333333333	0	0	0	0	0	0	0	0	7.666666667	0	0	7.666666667	0	0	0	0
Arthropoda	0	9.666666667	0	9.666666667	0	118.3333333	27	145.3333333	0	0	0	0	0	0	0	0	48	0	0	48
Arthropoda	9.666666667	0	1.333333333	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Arthropoda	0	6	0	6	0	1.666666667	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	41.33333333	99.66666667	158	299	141.6666667	75.33333333	157	374	41	54.33333333	118.3333333	213.6666666	78.66666667	38	0	116.6666667	129	163.3333333	124	416.3333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3.333333333	5.333333333
Arthropoda	0	28.33333333	20.66666667	49	5.333333333	30.33333333	5.333333333	41	5	8	51.66666667	64.66666667	0	0	0	0	16	0	25.33333333	41.33333333
Arthropoda	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	2.666666667	0	0	2.666666667
Arthropoda	8.666666667	59	22	89.66666667	247.6666667	165.6666667	355	768.3333334	35.66666667	2.666666667	10.33333333	48.66666667	5.333333333	0	0	5.333333333	136	110	219.6666667	465.6666667
Arthropoda	0	0	0	0	0	1.333333333	1	2.333333333	0	0	0	0	0	0	0	0	8	0	0	8
Arthropoda	0	0	0	0	0	0	0	0	7.666666667	0	0	7.666666667	0	0	0	0	1.666666667	0	0	1.666666667
Arthropoda	0	2.333333333	0	2.333333333	0	0	3	3	0	0	0	0	0	2	0	2	0	0	0	0
Arthropoda	0	1.333333333	0	1.333333333	1.333333333	1.333333333	0	2.666666666	0	0	0	0	1.666666667	0	0	1.666666667	0	0	0	0
Arthropoda	7.333333333	3.333333333	0	10.66666667	33.33333333	38	43.33333333	114.6666667	13.66666667	0	0	13.66666667	8.333333333	0	0	8.333333333	30	1.333333333	16.33333333	47.66666666
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	3.666666667	0	3.666666667	2	9	0	11
Arthropoda	0	34.33333333	30.33333333	64.66666666	2.333333333	4	2	8.333333333	0	34	16.66666667	50.66666667	30	0	0	30	42	0	4.666666667	46.66666667
Arthropoda	0	0	3.666666667	3.666666667	0	0	0	0	0	0	0	0	3.666666667	0	0	3.666666667	0	0	1.333333333	1.333333333
Arthropoda	268.3333333	184	253.6666667	706	39	12.66666667	73	124.6666667	17.66666667	8.666666667	51.66666667	78.00000001	149	75	0	224	53	75.33333333	60	188.3333333
Arthropoda	0	0	0	0	0	0	0	0	0	0	8.666666667	8.666666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.666666667	0	0	6.666666667
Arthropoda	0	0	27.66666667	27.66666667	17	71.33333333	16.66666667	105	0	0	0	0	0	0	0	0	29.33333333	0	6.333333333	35.66666666
Arthropoda	0	4.333333333	0	4.333333333	1	1.333333333	0	2.333333333	0	0	0	0	0	0	0	0	0	0	1.333333333	1.333333333
Arthropoda	0	0	0	0	0	0	0	0	6.666666667	0	0	6.666666667	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4.666666667	0	0	4.666666667
Arthropoda	0	0	0	0	0	1.333333333	0	1.333333333	0	0	0	0	4	0	1	5	0	0	0	0
Arthropoda	0	0	0	0	0	0	2.666666667	2.666666667	0	0	0	0	0	0	0	0	6.666666667	0	0	6.666666667
Arthropoda	0	0	0	0	0	0	3.333333333	3.333333333	0	0	0	0	0	0	0	0	0	2.666666667	0	2.666666667
Arthropoda	0	4.666666667	3.666666667	8.333333334	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Arthropoda	143.6666667	207.3333333	389	740	244	204.3333333	579	1027.333333	185.3333333	354.3333333	389.3333333	928.9999999	427.6666667	126	0	553.6666667	646.6666667	845.6666667	702	2194.333333
Arthropoda	0	0	0	0	0	0	0	0	1	0	3.333333333	4.333333333	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	0	5.666666667	5.666666667	0	0	0	0	0	0	0	0
Arthropoda	2.666666667	30.33333333	15.66666667	48.66666667	14	8.666666667	14.33333333	37	4.666666667	7	4.333333333	16	3.333333333	6	0	9.333333333	27.33333333	1.333333333	15	43.66666666
Arthropoda	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	1	0	1.666666667	2.666666667
Arthropoda	0	0	0	0	0	0	0	0	1	0	0	1	1.666666667	0	0	1.666666667	0	0	0	0
Arthropoda	0	0	0	0	0	4.333333333	0	4.333333333	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	6.666666667	0	6.666666667	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	43.66666667	10.66666667	12.33333333	66.66666667	7.666666667	27.33333333	11.66666667	46.66666667	0	0	0	0	24.66666667	0	29.33333333	54
Arthropoda	0	0	0	0	0	1.333333333	3.333333333	4.666666666	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	5.333333333	3	8.333333333	18.66666667	1.333333333	1	21	38	26.66666667	19	83.66666667	0	0	0	0	13.33333333	4.666666667	27	45
Arthropoda	0	1	0	1	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2.666666667	2.666666667
Arthropoda	0	6.333333333	0	6.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	5.333333333	5.333333333	1.333333333	2	0	3.333333333	0	0	0	0	0	0	0	0	0	0	4.333333333	4.333333333
Arthropoda	28	36.33333333	56.33333333	120.6666667	0	1.333333333	0	1.333333333	0	0	0	0	3	0	0	3	11	0	5.666666667	16.66666667
Arthropoda	0	0	4.666666667	4.666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	44.66666667	0	0	44.66666667	22.33333333	28.66666667	39	90	0	0	0	0	17	0	0	17
Arthropoda	0	5	8	13	11	26.33333333	2.666666667	40	13.66666667	14.66666667	36.66666667	65.00000001	6.666666667	0	0	6.666666667	16.33333333	0	5.333333333	21.66666666
Arthropoda	0	0	0	0	1	0	0	1	0	2.666666667	0	2.666666667	0	0	0	0	0	0	0	0
Arthropoda	17.33333333	0	0	17.33333333	0	1.666666667	0	1.666666667	21.33333333	12.33333333	60.33333333	93.99999999	0	0	0	0	0	20	0	20
Arthropoda	0	0	0	0	5	0	0	5	53	22.66666667	19.33333333	95	0	0	0	0	0	37	0	37
Arthropoda	2.333333333	0	4.333333333	6.666666666	0	1.333333333	41.33333333	42.66666666	0	0	0	0	40	19.33333333	0	59.33333333	5	19.66666667	0	24.66666667
Arthropoda	0	1.333333333	6	7.333333333	0	9.666666667	0	9.666666667	19	30.33333333	20.66666667	70	0	13.33333333	0	13.33333333	12.33333333	0	14.33333333	26.66666666
Arthropoda	6.333333333	10.66666667	42.66666667	59.66666667	0	0	0	0	4.333333333	0	12.33333333	16.66666666	29	0	0	29	19.66666667	1	0	20.66666667
Arthropoda	0	18.33333333	32	50.33333333	2	21	6.666666667	29.66666667	3	13.33333333	13.66666667	30	9	0	0	9	2.333333333	0	9.666666667	12
Arthropoda	0	0	0	0	0	0	0	0	19.33333333	71.66666667	40.66666667	131.6666667	0	0	0	0	0	0	0	0
Arthropoda	0	3	9.666666667	12.66666667	13	25.33333333	1.333333333	39.66666666	0	10.66666667	0	10.66666667	0	25.33333333	0	25.33333333	4.666666667	0	25.66666667	30.33333334
Arthropoda	0	0	5.333333333	5.333333333	0	26.66666667	9.333333333	36	28	0	31.33333333	59.33333333	0	2	0	2	6	0	16.66666667	22.66666667
Arthropoda	0	18.66666667	7.666666667	26.33333334	0	0	0	0	20.66666667	19.33333333	1	41	0	1.333333333	0	1.333333333	2	3	35.66666667	40.66666667
Arthropoda	0	32.66666667	0	32.66666667	8.333333333	8	3.333333333	19.66666667	3.333333333	17.66666667	9	30	0	1.333333333	0	1.333333333	10.33333333	12	24.33333333	46.66666666
Arthropoda	0	20	42.66666667	62.66666667	31.66666667	7.333333333	0	39	0	0	0	0	1.666666667	0	0	1.666666667	0	0	14.66666667	14.66666667
Arthropoda	0	34	13.33333333	47.33333333	0	0	0	0	50.33333333	19.33333333	7.333333333	76.99999999	0	0	0	0	0	0	0	0
Arthropoda	7.666666667	104.6666667	75.33333333	187.6666667	84	71.66666667	56.66666667	212.3333333	122	50.66666667	63.66666667	236.3333333	57.33333333	23.66666667	29	110	94	0	149.3333333	243.3333333
Arthropoda	0	4	0	4	0	18.33333333	0	18.33333333	11.66666667	16.33333333	35.66666667	63.66666667	0	0	0	0	10.33333333	0	2.666666667	13
Arthropoda	2	1.333333333	0	3.333333333	0	0	6.666666667	6.666666667	59.33333333	0	24.33333333	83.66666666	0	0	0	0	0	0	8.333333333	8.333333333
Arthropoda	0	23.66666667	10	33.66666667	5	10	10.33333333	25.33333333	0	5.333333333	0	5.333333333	3	0	0	3	17.66666667	0	21	38.66666667
Arthropoda	0	9	0	9	6	24.33333333	4	34.33333333	0	1	0	1	0	0	0	0	34	16.33333333	0	50.33333333
Arthropoda	0	0	0	0	0	0	0	0	16.33333333	73	0	89.33333333	2	0	0	2	17.33333333	3.333333333	4.333333333	25
Arthropoda	0	24	2	26	4.666666667	7	2.666666667	14.33333333	0	0	0	0	5	0	0	5	6.333333333	8.333333333	32.33333333	47
Arthropoda	0	0	0	0	0	0	0	0	23.66666667	29.66666667	33.66666667	87.00000001	0	0	0	0	0	0	0	0
Arthropoda	11.66666667	0	0	11.66666667	14.33333333	18.33333333	12.66666667	45.33333333	45.66666667	13	1	59.66666667	0	0	0	0	1.333333333	0	3	4.333333333
Arthropoda	0	8.333333333	0	8.333333333	12	3	0	15	1	27.33333333	4.333333333	32.66666666	13.66666667	6.666666667	0	20.33333334	3.333333333	0	2.666666667	6
Arthropoda	47.33333333	30.33333333	0	77.66666666	0	0	0	0	0	0	0	0	0	0	0	0	5.333333333	0	0	5.333333333
Arthropoda	18.33333333	14.66666667	0	33	15	0	4	19	14.66666667	3	0	17.66666667	3	0	0	3	0	24	0	24
Arthropoda	0	10	10.66666667	20.66666667	0	5.333333333	21.66666667	27	0	0	0	0	4.333333333	0	0	4.333333333	16.33333333	0	21	37.33333333
Arthropoda	0	22.66666667	0	22.66666667	0	0	13.33333333	13.33333333	0	3.666666667	0	3.666666667	0	0	0	0	14.66666667	16	8.333333333	39
Arthropoda	21.33333333	36.33333333	24	81.66666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Arthropoda	0	18	5.666666667	23.66666667	1.666666667	3.333333333	0	5	2	12	14.33333333	28.33333333	8.333333333	5	0	13.33333333	9.333333333	0	3.666666667	13
Arthropoda	35.66666667	0	0	35.66666667	0	4.333333333	0	4.333333333	0	1.666666667	0	1.666666667	7.666666667	6	0	13.66666667	8.666666667	0	17	25.66666667
Arthropoda	0	0	0	0	0	0	0	0	0	23.33333333	35.66666667	59	0	0	0	0	0	0	21.66666667	21.66666667
Arthropoda	0	9.666666667	7.333333333	17	0	7	3.666666667	10.66666667	0	0	13.33333333	13.33333333	0	0	0	0	29	0	7.333333333	36.33333333
Arthropoda	0	60.33333333	51.66666667	112	9	64.33333333	0	73.33333333	98.33333333	138.6666667	50	287	25.66666667	87.33333333	0	113	117.3333333	0	102.3333333	219.6666666
Arthropoda	0	47.33333333	52	99.33333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	1.333333333	0	1.333333333	0	37.33333333	24	61.33333333	0	0	0	0	14	0	2	16
